id,severity,cvss_score,cvss_vector,finding_type,title,description,impact,mitigation,replication_steps,host_detection_techniques,network_detection_techniques,references,finding_guidance,tags
5,Critical,10.0,,Host,Kiosks Vulnerable to Break Outs,"<p>Any user with physical or remote access to a kiosk system can break out of the kiosk interface and gain system access without the use of any complex exploits, tools, or techniques.</p>","<p>After creating an RDP session, the team was able to break out of the full-screen kiosk mode on all kiosk systems. The kiosks utilize the fullscreen mode of Internet Explorer and obfuscation of the taskbar. Simply using techniques such as Alt-Tab and closing the opened web browser allows for a breakout of the kiosks. The kiosks also don't immediately enter into full screen, which allows an attacker a window to open Powershell in the time it takes to start, effectively gaining local system-level access to each workstation.</p>","<ul>
<li>Harden kiosk configs to not allow malicious user input</li>
<li>Consider utilizing enterprise kiosk software such as Oracle's self-service kiosk solution.</li>
</ul>","<p>The issue is found within weak passwords. Once the weak password is found and used within an RDP session, the team can break out of the full-screen kiosk and gain local access to each workstation.</p>",,,"<ul>
<li><a href=""https://www.oracle.com/industries/hospitality/hotel-casino-kiosk-solutions/"">https://www.oracle.com/industries/hospitality/hotel-casino-kiosk-solutions/ </a></li>
</ul>",,RDP
40,Critical,10.0,,Network,Exposed Tram API,"<p>The trams to long-term parking, short-term parking, and the subway have their API exposed to the guest network with no authentication required. Additionally there is the ability to manipulate an admin parameter which would allow an attacker the ability to control the trams' ability to stop and start. This is a severe risk to the safety of the passengers as well as business functionality. Should an attacker stop the trams during normal operations, passengers could be injured or even killed.</p>","<p>The trams' api was accessible from the guest network. Additionally, this API had no authentication to access it and it operated over http. The use of http instead of https exposes the sensitive data to further potential for eavesdropping and manipulation. After the team further analyzed the site, it was found that manipulation of the isAdmin parameter in the URL allows users to manipulate the tram as an admin would. This would grant an attacker with the ability to stop and start the trams and poses a great risk.</p>","<ul>
<li>Isolate the train API from the guest network. Restrict access to the API to only authorized personnel and systems.</li>
<li>Transition the API from HTTP to HTTPS to ensure encrypted communication and prevent data interception.</li>
<li>Implement robust authentication mechanisms, such as API keys, to control access and prevent unauthorized manipulation of the trams.</li>
</ul>",,,,,,
8,Critical,10.0,,Network,Kiosk Lack Password Protection,<p>{{.client}}'s kiosks have no password protection. This allowed the team to connect with only the username “Administrator” and a blank password. This level of access on the kiosks allows users to operate with high privileges that could access stored domain credentials which can then be used to pivot into Active Directory.</p>,"<p>The team was able to gain administrative access to {{.client}}’s kiosks through the “Administrator” username and a blank password. The team entered these credentials in the Metasploit module “exploit/windows/smb/psexec” along with the IP Address of TODO. A reverse TCP handler was created and the exploit was run. Once the reverse shell connection was secured, the team verified that we were logged on as the administrator. After compromise, the team pivoted to an RDP connection where valid AD credentials were found.</p>","<ul>
<li>Create a password password policy for kiosk users referencing the password data (see: Appendix A)</li>
<li>Kiosks should not be run through the administrator account with administrative privileges. {{.client}} should either change the account to a low-level user and utilize a kiosk management software that is segmented from the rest of the network</li>
</ul>","<p>Enter username: Administrator and blank password into Metasploit module ""exploit/windows/smb/psexec"" along with the IP Address of the system you're exploiting. If the creds are valid you will use the options given to you after you run the Metasploit module to run a reverse shell. After running the reverse shell, you can see which services have administrator access. </p>",,,,"<p>The team entered these credentials in the Metasploit module “exploit/windows/smb/psexec” along with an IP Address. A reverse TCP handler was created and the exploit was run. Once the reverse shell connection was secured, the team verified that we were logged on as the administrator.</p>","weak creds,blank password,Metasploit"
6,Critical,10.0,,Network,OpenLDAP Clear Text Passwords,<p>Attackers can view and export clear text passwords for all users in the domain from weak credentials combined with an insecure password storage policy in the server. It allows attackers to compromise all users in a server including the AD domain.</p>,"<p>The team identified valid credentials for the server by testing passwords from publicly available wordlists. Once the passwords were authenticated, the team had access to cleartext passwords stored in the TODO attribute. Passwords should not be stored in clear text. They should instead be hashed with a secure algorithm, such as bcrypt, to prevent exfiltration or reuse of passwords.</p>","<ul>
<li>Change to a secure hash algorithm</li>
<li>Change all the passwords within the server to utilize best practices for length and complexity</li>
</ul>",,,,"<ul>
<li><a href=""https://www.ibm.com/docs/en/zos/2.3.0?topic=hashing-configuring-encryption"">https://www.ibm.com/docs/en/zos/2.3.0?topic=hashing-configuring-encryption</a></li>
<li><a href=""https://www.openldap.org/doc/admin24/security.html"">https://www.openldap.org/doc/admin24/security.html </a></li>
</ul>",,"brute forcing,unencrypted passwords,weak creds,LDAP"
7,Critical,10.0,,Network,Weak Passwords/Password Policy,"<p>Weak passwords/ reuse of passwords were persistent throughout the network, allowing an attacker to conduct a full domain takeover once passwords were guessed or cracked. In addition, attackers can pivot through the network using sets of credentials that are vulnerable. This allows an attacker to elevate privileges and compromise further hosts on the network.</p>","<p>The team can identify various instances of weak passwords, including TODO, TODO, and TODO. These sets of credentials were used to pivot to all hosts connected to the domain in addition to various web apps. Using the information gleaned from weak passwords, the team was able to compromise the full Active Directory in addition to TODO.</p>","<ul>
<li>Implement a password policy utilizing best practices for length and complexity</li>
<li>Use unique passwords for each user and service, and encourage the use of a password manager</li>
</ul>",,,,"<ul>
<li><a title=""https://docs.microsoft.com/en-us/microsoft-365/admin/misc/password-policy-recommend ations?view=o365-worldwide"" href=""https://docs.microsoft.com/en-us/microsoft-365/admin/misc/password-policy-recommend%20ations?view=o365-worldwide"">https://docs.microsoft.com/en-us/microsoft-365/admin/misc/password-policy-recommend</a><br /><a title=""https://docs.microsoft.com/en-us/microsoft-365/admin/misc/password-policy-recommend ations?view=o365-worldwide"" href=""https://docs.microsoft.com/en-us/microsoft-365/admin/misc/password-policy-recommend%20ations?view=o365-worldwide"">ations?view=o365-worldwide</a></li>
<li><a href=""https://auth0.com/blog/dont-pass-on-the-new-nist-password-guidelines/"">https://auth0.com/blog/dont-pass-on-the-new-nist-password-guidelines/</a></li>
</ul>",,
23,Critical,10.0,,Web,Command Injection,"<p>Command injection allows a user to pass maliciously crafted input into an application, which then is executed at an OS level. The application is unable to differentiate between the malicious input and regular application commands, and it executes calls within the authority context of the original application.</p>","<p>The team determined that the TODO application was vulnerable to command injection, resulting in remote code execution. The team took the following steps: TODO</p>","<ul>
<li>Perform server-side input validation of user input to ensure only legitimate queries are executed</li>
<li>Avoid directly executing commands</li>
</ul>",,,,"<ul>
<li><a href=""https://owasp.org/www-community/attacks/Command_Injection"">https://owasp.org/www-community/attacks/Command_Injection</a></li>
<li><a href=""https://github.com/OWASP/CheatSheetSeries/blob/master/cheatsheets/Input_Validation_Cheat_Sheet.md"">https://github.com/OWASP/CheatSheetSeries/blob/master/cheatsheets/Input_Validation_Cheat_Sheet.md</a></li>
</ul>",,
31,Critical,10.0,,Web,Default Credentials,"<p>Default accounts are built into systems, applications, databases, etc. These accounts are publicly documented and often overlooked during system hardening and deployment. The credentials for these accounts are often readily available online and allow an attacker to quickly access a machine.</p>",<p>The assessment team identified that TODO had default credentials that were utilized to TODO.</p>,"<ul>
<li>Ensure no accounts or applications are using default credentials</li>
<li>Consider utilizing a Privileged Access Management (PAM) utility such as XTAM to provide centralized management of accounts and secrets</li>
</ul>",,,,"<ul>
<li><a href=""https://www.us-cert.gov/ncas/alerts/TA13-175A"">https://www.us-cert.gov/ncas/alerts/TA13-175A</a></li>
<li><a href=""https://help.xtontech.com/content/users/getting-started-guide/what-is-xtam.htm"">https://help.xtontech.com/content/users/getting-started-guide/what-is-xtam.htm</a></li>
</ul>",,
36,Critical,9.9,CVSS:3.0/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:H,Network,Denial of Service,<p>A Denial Of Service (DOS) attack exploits a vulnerability to prevent users from accessing a resource or application.</p>,<p>TODO: The potential impact of a denial-of-service attack greatly depends on how and by whom the application is used. Applications that deal heavily in financial transactions may suffer both financial and brand damage as the result of a denial-of-service attack. An unavailable application that provides critical business data may result in users not being able to do their jobs.</p>,"<ul>
<li>Regularly update all software, OS, and applications</li>
<li>Employ DDoS protection services and solutions that can help mitigate and absorb the impact of DDoS attacks. These services can help to filter out malicious traffic and ensure that legitimate traffic can still access the system or network.</li>
</ul>","<ul>
<li>it can occur when the transmission medium is disrupted between the user and the resource, leaving no path for communication</li>
<li>the target system may be coaxed to reset, oftentimes repeatedly, which forces any established connections to reset</li>
<li>the target resource is fooled into consuming all available computing resources, thereby leaving no available resources to handle legitimate requests</li>
</ul>",,,"<ul>
<li><a href=""http://www.owasp.org/index.php/Application_Denial_of_Service"">http://www.owasp.org/index.php/Application_Denial_of_Service</a></li>
<li><a href=""https://nvd.nist.gov/vuln/detail/CVE-2022-1698"">https://nvd.nist.gov/vuln/detail/CVE-2022-1698</a></li>
</ul>
<p> </p>",,"DOS,Denial-of-Service"
14,Critical,9.8,,Web,Unauthenticated Root Access to MySQL Database,"<p>The MySQL Database running on TCP Port (TODO) allows unauthenticated remote root login. Compromise of the database could mean an important loss of confidentiality, integrity, and availability of sensitive (TODO) information.</p>","<p>An adversary will be able to alter and delete customer and payment records. Further, an adversary could alter product information on their website, potentially resulting in company defacement.</p>","<ul>
<li>The root MySQL user should be given a strong password (12 characters, composed of a mix of special characters, upper and lower case letters, and numbers).</li>
<li>Implementing multi-factor authentication (MFA) and account lockouts will also help with security.</li>
</ul>","<ol>
<li>Enter the following into a terminal:</li>
<li>MySQL -u root -h (ip_address)</li>
</ol>",,,"<ul>
<li><a href=""https://attack.mitre.org/techniques/T1110/001/"">https://attack.mitre.org/techniques/T1110/001/</a></li>
</ul>",,
33,Critical,9.5,,Web,Remote Code Execution via File Upload,"<p>Command injection is an attack in which the goal is the execution of arbitrary commands on the host operating system via a vulnerable application. Command injection attacks are possible when an application passes unsafe user-supplied data (forms, cookies, HTTP headers, etc.) to a system shell.</p>
<p>In this attack, the attacker-supplied operating system commands are usually executed with the privileges of the vulnerable application. Command injection attacks are possible largely due to insufficient input validation. During the analysis, it was observed that we were able to upload a (TODO) file with malicious content, which led to the execution of commands on the (TODO) server.</p>","<p>The consequences of unrestricted file upload can vary, including complete, execution of remote commands system takeover, an overloaded file system or database, forwarding attacks to back-end systems, client-side attacks, or simple defacement. It depends on what the application does with the uploaded file and especially where it is stored.</p>","<p>It is recommended to implement the following:</p>
<ul>
<li>Implement adequate validation on the file type being uploaded.</li>
<li>Implement a mechanism to identify the malicious files upon the files are being uploaded and reject all the malicious files.</li>
<li>Implement server-side sandboxing for all the files that are uploaded.</li>
<li>Restrict all file types and known viruses, ransomware, etc by checking the file signatures.</li>
<li>Implement a file extension check on every file upload endpoint</li>
<li>Avoid using shell execution functions. If unavoidable, limit their use to very specific use cases.</li>
<li>Perform proper input validation when taking user input into a shell execution command.</li>
<li>Use a safe API when accepting user input into the application.</li>
<li>Escape special characters in the case where a safe API is not available.</li>
</ul>","<p>Using Burpsuite, intercept the file upload between the host and the web server, change the file name or the uploaded file entirely, and complete the modified request. From there, a variety of actions can be taken depending on the contents of the file uploaded.</p>",,,"<ul>
<li><a href=""https://owasp.org/www-community/vulnerabilities/Unrestricted_File_Upload"">https://owasp.org/www-community/vulnerabilities/Unrestricted_File_Upload</a></li>
<li><a href=""https://cwe.mitre.org/data/definitions/77.html"">https://cwe.mitre.org/data/definitions/77.html</a></li>
</ul>",,
